逆温度,内部エネルギー,内部エネルギー標準誤差,比熱,比熱標準誤差,自発磁化,磁化標準誤差
0.11,19.546222222222227,23.663509411483332,603.0227306799803,86.37297396561792,-9.822222222222223,11.891210759539364
0.2,89.28466666666671,33.69415531034134,4041.6541233955572,513.5546377402682,-44.86666666666667,16.931736336854943
0.64,-6509.113111111111,186.223034424124,1264202.8138338043,1032288.6681955392,3270.911111111111,93.5794142834794
1.17,-15310.573555555562,340.62107746712365,14135291.43219141,14347233.804497171,7693.7555555555555,171.16637058649428
1.7,-19899.955777777777,0.04422222222221731,0.5030013227462768,5086.0197915987055,9999.977777777778,0.022222222222222192
2.23,-19900,0,0,0,10000,0
2.76,-19900,0,0,0,10000,0
3.29,-19900,0,0,0,10000,0
3.82,-19900,0,0,0,10000,0
4.88,-19900,0,0,0,10000,0
